from,to,date,origin
429,34115,16520328,-
35893,6978,16230410,Rome
31612,14197,16770915,Lisburn
13045,43746,16191106,-
11172,19394,16930420,Whitehall
39920,34115,16571023,-
19312,42999,16730216,-
55606,44566,16251231,-
11175,8814,16710914,Woolwich
4660,13045,16170623,-
17631,49801,16960430,-
9881,9420,16461014,Nottingham
7072,451,16940322,Whitehall
43400,20905,16160603,-
19477,10580,16330731,-
51954,6978,16360923,-
36379,1056,16101026,-
20106,36220,16250415,Dublin
41323,39896,16661009,Ordnance Office
6978,874,16390324,Whitehall
7342,7746,16270721,-
41652,38454,16090904,-
23065,42999,16781005,Windsor Castle
42787,17681,16260304,Plymouth
51125,19128,16790612,Council Chamber
43613,42067,16301005,-
42396,41287,16371228,Westover
46591,46438,16630403,Dublin Castle
39016,31002,16850206,Whitehall
3548,34115,16551124,-
24263,7746,16360725,-
6978,36070,16290622,-
41323,34115,16690610,Ordnance Office
51213,42999,16670914,Navy Office
44520,38454,16091118,-
46438,46513,16610122,-
43101,41533,16400222,Berwick
19858,42999,16720317,Portsmouth
14965,6979,16830725,-
44113,19172,16050122,-
49842,20945,16210617,-
46261,38454,16060620,-
37614,43025,16820104,Coventry
3850,38385,16550527,-
2544,43979,16720514,-
16434,13045,16311227,-
39016,28068,16860413,Whitehall
41769,42067,16441106,Durham
263,451,16560616,-
13045,6978,16300816,-
13045,43400,16160626,-
5554,39896,16650827,"Loyal Subject, The Downs"
19858,42999,16741217,Portsmouth
48109,42999,16780128,Falmouth
34371,41287,16370223,-
16683,31641,16250602,-
6410,34115,16730208,Dublin
52233,34115,16660315,"The Truelove, Harwich"
4653,38385,16530912,-
41058,17681,16260817,-
36220,14588,16260115,-
20912,42999,16771210,-
18879,10580,16240227,-
24263,50697,16381231,-
42739,39896,16630115,Portsmouth
7154,13045,16300204,Dublin
10612,8390,16511028,Whitehall
18851,42999,16230122,-
9474,10580,16270930,-
24053,20912,16660729,Lyme
42651,41287,16271013,Dover Castle
6338,34115,16611014,The Dolphin
24772,36220,16491231,-
10818,20905,16311231,-
451,34115,16570723,-
37517,42999,16670601,Newcastle
19858,42999,16700531,Portsmouth
24913,34115,16571224,-
36077,44285,16390624,-
3157,38644,17080502,Moscow
20862,43259,16290501,-
7421,14197,16710614,Essex House
42039,14200,16240324,-
16018,13045,16291224,-
15020,44285,16320113,-
30824,10580,16290412,-
48740,42999,16601031,Carlisle
13045,46274,16210205,-
39349,46591,16670906,Charleville
51915,15419,16370206,London House
3510,451,16590309,-
19858,42999,16710209,Portsmouth
13161,20945,16150331,-
3952,38385,16550916,-
13954,34115,16531231,-
51485,22293,15950131,-
38067,44566,16071231,-
44637,37606,16371217,Burderop
41952,44566,16060104,Glemham
13045,39680,16140913,-
6978,11544,16351231,-
19522,40180,16420222,-
16294,42999,16740224,London
41496,43746,16200825,-
9737,42597,16441019,Derby House
19522,13045,16310720,-
3684,451,16550407,-
14709,13045,16201106,-
16082,18912,16641015,-
17681,42787,16280822,Portsmouth
40860,44566,16060803,-
6979,1895,16701019,-
13045,20905,16270728,-
27691,18912,16660127,Dublin Castle
41921,38454,16080817,Broxburne
9737,38526,16441016,Derby House
18313,45118,16160901,-
51125,39896,16840527,Whitehall
28290,20945,16221019,-
14166,39896,16701214,Woolwich
9602,44285,16290913,-
40862,38454,16060106,-
51575,18912,16691123,-
46438,7428,16630718,Whitehall
31900,41533,16391231,-
42536,20945,16150630,-
17631,52795,16930624,Vienna
42489,51986,16410507,York
41396,44566,16050212,-
41798,42067,16410726,-
8814,34115,16700303,Navy Office
44780,44566,16070414,Newcastle
48655,41287,16560131,-
22639,40180,16181110,-
34991,42999,16660718,"Custom House, Barnstaple"
36848,52621,16351207,-
9737,8674,16440406,Derby House
11172,41530,16920920,Whitehall
5385,42999,16770809,Truro
39016,27720,16850731,Whitehall
44566,16950,16050430,-
44285,38108,16320630,Bulwick
43613,38108,16301015,-
43025,40567,16800920,-
4659,32394,16670907,St. Malo
24732,41533,16350128,-
48823,29417,16360212,Dublin
43746,44374,16180914,-
51468,41471,16280609,Godolphin
46438,27649,16301231,-
46439,17769,16630406,Whitehall
52785,14200,16251105,-
44182,43925,16050726,Hatfield
42067,13045,16300214,-
41675,18912,16640314,Hague
42866,42999,16660703,Plymouth Fort
23649,14200,16190622,-
22619,32832,16620509,-
30753,34115,16700506,-
32077,40180,16391020,-
48964,38644,17051003,Berlin
18889,50697,16251223,-
23013,42999,16690412,-
29243,20945,16210112,-
44983,40994,17060208,-
37893,42999,16760425,Stockton
6979,36008,16720318,Whitehall
36100,6979,16610110,-
24728,34115,16700109,Chatham
40615,42999,16750513,Harwich
43139,42999,16700219,Dublin
49024,41533,16361001,Rome
4807,44569,16650827,The Bendish
34064,20912,16720508,Weymouth
39896,42999,16730220,-
1749,13045,16311231,-
41442,42999,16670121,"St. Peter&#x0027;s Port, Guernsey"
38530,40163,16280908,Dublin
