id,person_name
1749,Arnold Florentz van Langren
41442,Sir Francis Cartwright
38530,Robert Dixon
40980,Sir Charles Cornwallis
48727,Thomas Skevington
24984,Joseph Avery
44482,Sir Walter Raleigh
47669,"Thomas Clifford, Baron Clifford of Chudleigh"
44542,Sir William Boswell
10643,Counsellor Charles Cremer
44232,Sir Thomas Morton
16155,Francis Parry
26595,"Levant, or Turkey, Company"
16032,Francis Hare
19152,Henry Hicks
8507,Colonel John Venn
24744,John Witham and Roger Tocketts
18757,Hen. Bayley
52318,William Rainborowe
43246,Sir Peter Manwood
55389,NA
6931,Charles Fitzwilliams
23120,John Gason
37756,Richard Marbury
12142,Don Miguel de Salamanca
835,Alexander Murray
16052,Francis How
6298,Captain Thomas Teddeman
10938,Curtius
44342,Sir Thomas Trenchard
24218,John Russell
44838,Sir William Uvedale
48138,"Thomas Howard, Earl of Suffolk"
43631,Sir Robert Bindlos
44594,Sir William Crofts
45118,States General of Netherlands
4338,Capt. Robert Wilkinson
51745,William Hannam
2410,Bartholomew Marsh
23351,John Herring
3008,Bromley
44898,Sir. Edward Spragg
23569,John Knight
50958,Willem Lord Nieupoort
20129,Isaac Dorislaus
14612,Edward Stratten and Joseph Browne
32078,Morys Vaughan
10997,"Cyril, Patriarch of Alexandria"
15389,Fabian Smith
25084,Joseph Pennington
22662,John Chamberlain
51491,William Domineck
46355,The Grand Signor
6021,Captain Robert Kirby
24154,John Richards
26108,Lady Carleton
15172,English Lords Commissioners
3962,Capt. John Parker
4176,Capt. Phineas Pett
35671,Philip Lanyon
23090,"John Frescheville, Baron Frescheville of Staveley"
13846,Edmund Ludlow
22078,Jo. Motte
2438,Basil Lord Fielding
24807,John Younger
34987,P. Leicester
38571,Robert Ferguson
1148,Andrew Duke
42773,Sir John Ogle
19202,"Henry Jermyn, Earl of St Albans"
18972,"Henry Cavendish, Duke of Newcastle upon Tyne"
851,"Alexander Seton, Earl of Dunfermline"
9211,Commissioners for Dutch Prizes
38197,Ro. Oldisworth
41930,Sir Henry Danvers
41999,Sir Henry Marten Judge of the Admiralty Court
4289,Capt. Rob. Robinson
41915,Sir Henry Carey
42966,Sir John Wyburne
7068,"Charles Stanley, Earl of Derby"
23740,John Man
30843,Mayor and Aldermen of London
42728,Sir John Marlay
19369,Henry Rumbold
15890,Francis Baylie
21306,"Jane, Countess of Winchester"
52635,William Viscount Grandison
16163,Francis Phelips
20484,"J. Pitt, the Speaker, off Ostend"
25920,King Philip
5955,Captain Richard Fogg
2652,Bilderbeck
5602,Captain John King
40564,Sidney Bere
20905,"James Hay, Earl of Carlisle"
43321,Sir R. Cotton
6196,Captain Thomas Bowry
10418,Consul John Milner
4263,Capt. Richard Cowes
1573,Anthony Ulric
12788,Dr. Roger Mainwaring
6098,Captain Seth Thurston
45879,The Committee
1603,Antonio Bravo
50614,Wallenstein&#x0027;s Jesuit confessor
42006,Sir Henry Mervin
35092,Parliamentary Commissioners
45063,St. John Steventon
20980,"James Ley, Earl of Marlborough"
16269,Francis Windebank
16731,Gaspar Antonio de Alvarada
51239,William Burrell
48286,Thomas Lewsley
3043,Bulstrode Whitelocke
22759,John Corbett
9157,Commissioner of Transport
23941,"John Overall, Bishop of Norwich"
16632,G. Warburton
41488,Sir Francis Leake
42320,Sir James Thynn
24725,John Willoughby
12638,Dr. Joseph Hall
42296,Sir James Perrot
52301,William Prideaux
56105,NA
28068,Lord-Lieutenant
38812,Robert Mein
3812,Capt. Jno. Bowry
37276,Richard Bladwell
54403,NA
52227,William Pattison
51973,William Ledgant
22698,John Clarke
